k t J res re2 iterationGibbs time J1 J2 J3
 121 1.020648e+05 -1.184631e-03 1.120264e-05 3.332765e-03 1 2.487986e+00 -2.810269e-03 7.694994e+01 2.074262e-01 
 122 7.654856e+04 -1.184631e-03 1.087152e-05 2.425693e-03 1 2.433451e+00 -2.810258e-03 7.695014e+01 2.074219e-01 
 123 1.148228e+05 -1.184631e-03 6.254010e-06 2.093126e-03 1 1.840151e+00 -2.810259e-03 7.694984e+01 2.074235e-01 
 124 8.611714e+04 -1.184631e-03 7.037266e-06 1.766453e-03 1 2.437758e+00 -2.810251e-03 7.694993e+01 2.074206e-01 
 125 1.291757e+05 -1.184631e-03 5.396290e-06 2.031817e-03 1 1.934255e+00 -2.810251e-03 7.694975e+01 2.074213e-01 
 126 9.688178e+04 -1.184631e-03 6.947724e-06 1.961973e-03 1 2.472399e+00 -2.810243e-03 7.694988e+01 2.074182e-01 
 127 1.453227e+05 -1.184631e-03 6.310951e-06 2.673232e-03 1 1.757572e+00 -2.810243e-03 7.694972e+01 2.074189e-01 
 128 1.089920e+05 -1.184631e-03 1.016931e-05 3.230685e-03 1 2.516530e+00 -2.810233e-03 7.695001e+01 2.074146e-01 
 129 8.174400e+04 -1.184631e-03 1.121982e-05 2.673316e-03 1 2.418799e+00 -2.810235e-03 7.694981e+01 2.074162e-01 
 130 1.226160e+05 -1.184631e-03 7.370470e-06 2.634213e-03 1 1.762439e+00 -2.810227e-03 7.695020e+01 2.074121e-01 
 131 9.196200e+04 -1.184631e-03 9.734187e-06 2.609255e-03 1 2.464272e+00 -2.810228e-03 7.695024e+01 2.074120e-01 
 132 1.379430e+05 -1.184631e-03 8.982698e-06 3.611727e-03 1 1.742674e+00 -2.810219e-03 7.695079e+01 2.074073e-01 
 133 1.034572e+05 -1.184631e-03 1.522072e-05 4.589914e-03 1 2.384453e+00 -2.810220e-03 7.695127e+01 2.074054e-01 
 134 7.759294e+04 -1.184632e-03 2.562436e-05 2.769687e-03 3 2.459401e+00 -2.810208e-03 7.695283e+01 2.073958e-01 
 135 1.163894e+05 -1.184632e-03 7.383692e-06 2.504930e-03 1 1.827393e+00 -2.810209e-03 7.695265e+01 2.073967e-01 
 136 8.729205e+04 -1.184632e-03 8.229288e-06 2.093849e-03 1 2.396909e+00 -2.810199e-03 7.695266e+01 2.073933e-01 
 137 1.309381e+05 -1.184632e-03 6.302278e-06 2.402298e-03 2 1.994487e+00 -2.810198e-03 7.695227e+01 2.073945e-01 
 138 9.820356e+04 -1.184632e-03 8.331949e-06 2.384967e-03 1 2.333915e+00 -2.810188e-03 7.695221e+01 2.073916e-01 
 139 7.365267e+04 -1.184632e-03 7.584527e-06 1.628266e-03 1 2.499597e+00 -2.810188e-03 7.695181e+01 2.073932e-01 
 140 1.104790e+05 -1.184632e-03 4.287466e-06 1.380667e-03 1 1.774646e+00 -2.810182e-03 7.695186e+01 2.073912e-01 
 141 1.657185e+05 -1.184632e-03 4.422689e-06 2.136271e-03 3 1.893980e+00 -2.810180e-03 7.695162e+01 2.073915e-01 
 142 6.214444e+04 -1.184632e-03 7.860863e-06 1.423905e-03 1 3.033787e+00 -2.810172e-03 7.695162e+01 2.073889e-01 
 143 1.864333e+05 -1.184632e-03 2.911304e-06 1.582048e-03 1 1.194553e+00 -2.810173e-03 7.695143e+01 2.073900e-01 
 144 6.991250e+04 -1.184632e-03 4.619956e-06 9.414584e-04 1 3.011769e+00 -2.810167e-03 7.695139e+01 2.073882e-01 
 145 2.097375e+05 -1.184632e-03 2.529744e-06 1.543660e-03 3 1.378360e+00 -2.810167e-03 7.695126e+01 2.073888e-01 
 146 7.865156e+04 -1.184632e-03 4.842825e-06 1.110234e-03 1 3.124036e+00 -2.810161e-03 7.695126e+01 2.073870e-01 
 147 1.179773e+05 -1.184632e-03 2.924781e-06 1.002412e-03 3 1.962335e+00 -2.810162e-03 7.695113e+01 2.073878e-01 
 148 8.848300e+04 -1.184632e-03 3.441542e-06 8.876084e-04 1 2.426067e+00 -2.810159e-03 7.695118e+01 2.073866e-01 
 149 1.327245e+05 -1.184632e-03 2.656813e-06 1.023197e-03 3 1.911434e+00 -2.810159e-03 7.695108e+01 2.073872e-01 
 150 9.954338e+04 -1.184632e-03 3.713286e-06 1.077406e-03 1 2.591902e+00 -2.810156e-03 7.695114e+01 2.073859e-01 
 151 7.465753e+04 -1.184632e-03 3.468716e-06 7.517669e-04 2 2.549122e+00 -2.810157e-03 7.695102e+01 2.073867e-01 
 152 1.119863e+05 -1.184632e-03 1.876638e-06 6.125675e-04 1 1.847147e+00 -2.810155e-03 7.695107e+01 2.073858e-01 
 153 8.398973e+04 -1.184632e-03 2.018815e-06 4.942324e-04 1 2.467234e+00 -2.810155e-03 7.695101e+01 2.073861e-01 
 154 1.259846e+05 -1.184632e-03 1.495763e-06 5.492736e-04 1 1.832536e+00 -2.810153e-03 7.695104e+01 2.073855e-01 
 155 9.448844e+04 -1.184632e-03 1.802325e-06 4.963870e-04 1 2.450385e+00 -2.810153e-03 7.695099e+01 2.073856e-01 
 156 1.417327e+05 -1.184632e-03 1.557999e-06 6.436438e-04 1 1.822142e+00 -2.810152e-03 7.695102e+01 2.073850e-01 
 157 1.062995e+05 -1.184632e-03 2.345321e-06 7.266780e-04 1 2.673708e+00 -2.810152e-03 7.695096e+01 2.073853e-01 
 158 7.972462e+04 -1.184632e-03 2.448431e-06 5.689694e-04 1 2.453177e+00 -2.810150e-03 7.695102e+01 2.073845e-01 
 159 1.195869e+05 -1.184632e-03 1.468286e-06 5.118029e-04 1 1.820119e+00 -2.810151e-03 7.695096e+01 2.073849e-01 
 160 8.969020e+04 -1.184632e-03 1.802557e-06 4.712405e-04 1 2.329964e+00 -2.810149e-03 7.695100e+01 2.073843e-01 
 161 6.726765e+04 -1.184632e-03 1.391393e-06 2.728127e-04 1 2.427312e+00 -2.810150e-03 7.695095e+01 2.073846e-01 
 162 2.018030e+05 -1.184632e-03 7.289331e-07 4.287693e-04 1 1.176642e+00 -2.810149e-03 7.695097e+01 2.073843e-01 
 163 7.567611e+04 -1.184632e-03 1.216815e-06 2.684057e-04 1 2.939396e+00 -2.810148e-03 7.695094e+01 2.073843e-01 
 164 1.135142e+05 -1.184632e-03 7.361076e-07 2.435565e-04 1 1.747310e+00 -2.810148e-03 7.695095e+01 2.073840e-01 
 165 1.702712e+05 -1.184632e-03 7.907909e-07 3.924745e-04 1 1.917158e+00 -2.810148e-03 7.695091e+01 2.073841e-01 
 166 6.385171e+04 -1.184632e-03 1.470031e-06 2.735946e-04 1 3.275394e+00 -2.810146e-03 7.695090e+01 2.073838e-01 
 167 1.915551e+05 -1.184632e-03 5.649174e-07 3.154185e-04 1 1.165045e+00 -2.810147e-03 7.695086e+01 2.073840e-01 
 168 7.183318e+04 -1.184632e-03 9.917330e-07 2.076483e-04 1 2.909906e+00 -2.810145e-03 7.695083e+01 2.073837e-01 
 169 2.154995e+05 -1.184632e-03 5.382080e-07 3.380687e-04 1 1.165532e+00 -2.810145e-03 7.695080e+01 2.073839e-01 
 170 8.081233e+04 -1.184632e-03 1.179823e-06 2.779093e-04 1 3.163168e+00 -2.810144e-03 7.695077e+01 2.073836e-01 
 171 1.212185e+05 -1.184632e-03 7.279803e-07 2.572154e-04 1 1.774161e+00 -2.810144e-03 7.695073e+01 2.073839e-01 
 172 9.091387e+04 -1.184632e-03 9.211648e-07 2.441046e-04 1 2.384417e+00 -2.810144e-03 7.695073e+01 2.073836e-01 
 173 6.818540e+04 -1.184632e-03 7.294994e-07 1.449856e-04 1 2.555714e+00 -2.810144e-03 7.695069e+01 2.073838e-01 
